,0
0,0.0009403228759765625
1,0.0004012584686279297
2,0.0003819465637207031
3,0.0004456043243408203
4,0.0003743171691894531
5,0.0004298686981201172
6,0.00036835670471191406
7,0.0003757476806640625
8,0.0004608631134033203
9,0.0003674030303955078
10,0.00043487548828125
11,0.0003750324249267578
12,0.00042510032653808594
13,0.0003743171691894531
14,0.0007915496826171875
15,0.0004544258117675781
16,0.0003731250762939453
17,0.00044226646423339844
18,0.00037932395935058594
19,0.0003745555877685547
20,0.0004608631134033203
21,0.0003762245178222656
22,0.00037479400634765625
23,0.00044417381286621094
24,0.00037026405334472656
25,0.0004558563232421875
26,0.0003743171691894531
27,0.0003800392150878906
28,0.00040912628173828125
29,0.00037097930908203125
30,0.0005061626434326172
31,0.0003795623779296875
32,0.00037550926208496094
33,0.0004448890686035156
34,0.00037288665771484375
35,0.00044345855712890625
36,0.00037789344787597656
37,0.0003795623779296875
38,0.0004360675811767578
39,0.0003724098205566406
40,0.00045180320739746094
41,0.00038242340087890625
42,0.00040984153747558594
43,0.00043582916259765625
44,0.0003731250762939453
45,0.00043964385986328125
46,0.0003857612609863281
47,0.0003769397735595703
48,0.00044417381286621094
49,0.00037169456481933594
50,0.0004305839538574219
51,0.00037097930908203125
52,0.0004260540008544922
53,0.0003819465637207031
54,0.0003719329833984375
55,0.0004546642303466797
56,0.00039887428283691406
57,0.000370025634765625
58,0.0004296302795410156
59,0.0003752708435058594
60,0.0003924369812011719
61,0.0004062652587890625
62,0.0003597736358642578
63,0.0004482269287109375
64,0.0003864765167236328
65,0.0006935596466064453
66,0.0006096363067626953
67,0.0006096363067626953
68,0.0005700588226318359
69,0.0004429817199707031
70,0.0004241466522216797
71,0.00037026405334472656
72,0.0003771781921386719
73,0.0004413127899169922
74,0.0003731250762939453
75,0.0003998279571533203
76,0.00044536590576171875
77,0.0003781318664550781
78,0.00037384033203125
79,0.0003752708435058594
80,0.0004401206970214844
81,0.000514984130859375
82,0.00037288665771484375
83,0.0004456043243408203
84,0.00041866302490234375
85,0.0003733634948730469
86,0.0004558563232421875
87,0.0004413127899169922
88,0.0003898143768310547
89,0.0004525184631347656
90,0.0004558563232421875
91,0.0004107952117919922
92,0.0005257129669189453
93,0.0003693103790283203
94,0.0004267692565917969
95,0.0003962516784667969
96,0.0003917217254638672
97,0.00042748451232910156
98,0.0004153251647949219
99,0.00037169456481933594
