,0
0,0.0015361309051513672
1,0.0013675689697265625
2,0.001539468765258789
3,0.0016531944274902344
4,0.0015549659729003906
5,0.0016283988952636719
6,0.0016360282897949219
7,0.0015976428985595703
8,0.0008287429809570312
9,0.0007734298706054688
10,0.0008289813995361328
11,0.0009486675262451172
12,0.00081634521484375
13,0.0007860660552978516
14,0.0007140636444091797
15,0.0007004737854003906
16,0.0007102489471435547
17,0.0007219314575195312
18,0.0006988048553466797
19,0.0007112026214599609
20,0.0007081031799316406
21,0.0006818771362304688
22,0.0007205009460449219
23,0.0006911754608154297
24,0.0006806850433349609
25,0.0007073879241943359
26,0.0007076263427734375
27,0.000690460205078125
28,0.0007104873657226562
29,0.000698089599609375
30,0.0007042884826660156
31,0.0007224082946777344
32,0.0007245540618896484
33,0.0006978511810302734
34,0.0007414817810058594
35,0.0007154941558837891
36,0.0011463165283203125
37,0.0009005069732666016
38,0.0007197856903076172
39,0.0007472038269042969
40,0.0006926059722900391
41,0.0007555484771728516
42,0.0007178783416748047
43,0.0007207393646240234
44,0.0007412433624267578
45,0.0006976127624511719
46,0.0007104873657226562
47,0.0007860660552978516
48,0.0007717609405517578
49,0.0007586479187011719
50,0.0007522106170654297
51,0.0007557868957519531
52,0.0007569789886474609
53,0.0007572174072265625
54,0.0007047653198242188
55,0.0007071495056152344
56,0.0007030963897705078
57,0.0007495880126953125
58,0.0006997585296630859
59,0.0007009506225585938
60,0.0007593631744384766
61,0.0006990432739257812
62,0.0006985664367675781
63,0.0007500648498535156
64,0.0007774829864501953
65,0.0007929801940917969
66,0.0007190704345703125
67,0.0007495880126953125
68,0.0006992816925048828
69,0.0007457733154296875
70,0.0007586479187011719
71,0.0006911754608154297
72,0.0007319450378417969
73,0.0007061958312988281
74,0.0007827281951904297
75,0.0007085800170898438
76,0.0007321834564208984
77,0.0007064342498779297
78,0.0007436275482177734
79,0.0006976127624511719
80,0.0007393360137939453
81,0.000713348388671875
82,0.0006930828094482422
83,0.0007033348083496094
84,0.0007431507110595703
85,0.0007069110870361328
86,0.0007619857788085938
87,0.0007719993591308594
88,0.0007603168487548828
89,0.0007138252258300781
90,0.0007045269012451172
91,0.0007536411285400391
92,0.0009586811065673828
93,0.0007369518280029297
94,0.0007009506225585938
95,0.0007472038269042969
96,0.0007102489471435547
97,0.0006957054138183594
98,0.0007426738739013672
99,0.0007443428039550781
